page,status,num_boxes,num_selected_english,selected_ratio
pg_1,ok,9,9,1.0
pg_2,ok,16,16,1.0
pg_3,ok,18,18,1.0
pg_4,ok,12,12,1.0
pg_5,ok,13,13,1.0
pg_6,ok,18,18,1.0
