page,num_boxes,avg_conf,overflowed,small_font_lt12,avg_font_size
pg_1,7,0.7804154009779175,0,0,24.285714285714285
pg_2,11,0.8190703984328266,0,1,20.454545454545453
pg_3,12,0.8598108673670452,0,0,25.25
pg_4,9,0.8568013949742388,0,0,28.77777777777778
pg_5,8,0.826493875799048,0,0,17.875
pg_6,17,0.8224548080603697,2,3,20.764705882352942
