file,num_gt_boxes,num_matched_boxes,mean_iou,mean_iogt,mean_center_distance,mean_lev_sim,mean_cer_sim,mean_word_sim,mean_chrf,mean_end2end_lev,mean_end2end_chrf,recall_iou_03,recall_iou_05,weighted_lev_sim,weighted_chrf,weighted_end2end_lev,weighted_end2end_chrf,page_concat_lev_sim,page_concat_chrf,gt_json_path,pred_json_path
pg_1.json,8,8,0.19945927467462135,0.26019352163900966,156.69989000943713,0.1701130634861377,0.1701130634861377,0.1701130634861377,0.11255440038619735,0.04202801405543914,0.0283606094979984,0.375,0.125,0.21398245858327886,0.11624450227382506,0.04091658820910286,0.026228645746011393,0.2508591065292096,0.23309166370701162,outputs\en\json\pg_1.json,outputs\jap\translation_best\pg_1.json
pg_10.json,18,18,0.13679402463872525,0.18938809466655399,113.49461417853746,0.2120319801490617,0.2120319801490617,0.2120319801490617,0.15794196228885435,0.04075853098034762,0.02734899604163909,0.16666666666666666,0.1111111111111111,0.29606531850246737,0.20160979444031524,0.07896942376028024,0.05350195807245543,0.31899641577060933,0.3303760348627429,outputs\en\json\pg_10.json,outputs\jap\translation_best\pg_10.json
pg_11.json,7,7,0.07474982457853396,0.08657419236879974,235.91440603337273,0.10939284687127655,0.10939284687127655,0.10939284687127655,0.07961618462391387,0.00444281494780264,0.0019907860578412357,0.0,0.0,0.22152395915161033,0.13580422003635187,0.006013631444491126,0.00406309689095206,0.25149700598802394,0.2063168300015527,outputs\en\json\pg_11.json,outputs\jap\translation_best\pg_11.json
pg_12.json,10,10,0.14390665777332784,0.21767578145886063,77.97738903539054,0.22260266969412396,0.22260266969412396,0.22260266969412396,0.13562136515036857,0.03590778444012536,0.022301451406006072,0.1,0.0,0.24019215619275416,0.15887529235144077,0.06431915583957351,0.03746579064741871,0.2591549295774648,0.25000235520492897,outputs\en\json\pg_12.json,outputs\jap\translation_best\pg_12.json
pg_13.json,7,7,0.12462080431137024,0.14572025545750308,124.0553700764276,0.25458660453756893,0.25458660453756893,0.25458660453756893,0.15102093946870385,0.038183170905602574,0.023502287266577958,0.2857142857142857,0.0,0.2796016905093945,0.16032780057593204,0.04786778278576355,0.02902312458512205,0.30396475770925113,0.26652751599145974,outputs\en\json\pg_13.json,outputs\jap\translation_best\pg_13.json
pg_14.json,14,14,0.16959563686969512,0.26132788279122177,83.92705793304819,0.23459440616965185,0.23459440616965185,0.23459440616965185,0.18115363032927506,0.05042113346836891,0.04413949060735589,0.21428571428571427,0.0,0.26269946338745787,0.17133636331019492,0.04907696519001326,0.03746876974151044,0.28882833787465945,0.28584276864037866,outputs\en\json\pg_14.json,outputs\jap\translation_best\pg_14.json
pg_15.json,8,8,0.03259324014424229,0.04470259510336234,187.63649642673488,0.133216473243069,0.133216473243069,0.133216473243069,0.08369900819517588,0.004397188835833257,0.0016880510368651302,0.0,0.0,0.17185646357188913,0.09325049135001753,0.0065392764909784065,0.0024908440222675124,0.25461254612546125,0.2019740190847382,outputs\en\json\pg_15.json,outputs\jap\translation_best\pg_15.json
pg_16.json,10,10,0.08183616451498779,0.15766369150661147,143.2367007059932,0.21369516448463816,0.21369516448463816,0.21369516448463816,0.1600795697109517,0.013421964804652794,0.008327810991704947,0.0,0.0,0.24094412792721062,0.1811097462530549,0.01825339717855697,0.011167268625730723,0.2544910179640718,0.26145752895471264,outputs\en\json\pg_16.json,outputs\jap\translation_best\pg_16.json
pg_17.json,9,9,0.12051687616743541,0.14649787293151015,125.2523768382261,0.18167675221655832,0.18167675221655832,0.18167675221655832,0.11822525239954877,0.03039476600188617,0.021047771078437805,0.1111111111111111,0.1111111111111111,0.2517501686909582,0.1674832454401762,0.08350030543264593,0.052029658141328816,0.2617924528301887,0.27110926742875474,outputs\en\json\pg_17.json,outputs\jap\translation_best\pg_17.json
pg_18.json,16,16,0.14668481138906572,0.2782014446439719,125.12845140260382,0.19406045728075588,0.19406045728075588,0.19406045728075588,0.14189090784079886,0.035280753817019166,0.02898262843810267,0.1875,0.0625,0.22861951284857146,0.16142390122656136,0.04265211436166194,0.03337421573208901,0.27606177606177607,0.25018474079543673,outputs\en\json\pg_18.json,outputs\jap\translation_best\pg_18.json
pg_19.json,12,12,0.12318968020866623,0.16547359355736804,135.1357170106384,0.15454687338400205,0.15454687338400205,0.15454687338400205,0.1723379093398417,0.030352627319317208,0.0331880349441994,0.16666666666666666,0.0,0.2518237766951489,0.2988554837453377,0.06852708046945305,0.08404806917729929,0.30841121495327106,0.3439017582546746,outputs\en\json\pg_19.json,outputs\jap\translation_best\pg_19.json
pg_2.json,8,8,0.10763499822255236,0.18200258168031025,103.37654559572107,0.36715616758720204,0.36715616758720204,0.36715616758720204,0.31009444340842707,0.03953520471820357,0.036003580332287365,0.125,0.0,0.4534212178279975,0.3611646798226819,0.04747082894207229,0.042852150315037245,0.4714285714285714,0.37241368061644164,outputs\en\json\pg_2.json,outputs\jap\translation_best\pg_2.json
pg_20.json,16,16,0.2345515012131996,0.29407278057603514,85.90725136486135,0.18551216382289443,0.18551216382289443,0.18551216382289443,0.14687802559867402,0.05327120788607814,0.05128329114680322,0.3125,0.125,0.2171448454804497,0.18194525015817264,0.07977113194666119,0.07884841804377066,0.2704471101417666,0.36254738918993745,outputs\en\json\pg_20.json,outputs\jap\translation_best\pg_20.json
pg_21.json,12,12,0.24441985838574784,0.31851114670287467,87.60074387686973,0.24013306451121827,0.24013306451121827,0.24013306451121827,0.15748321817108193,0.06076904982369936,0.044116226025101214,0.3333333333333333,0.25,0.2502299494109201,0.17428478396061348,0.06696995765483227,0.05114917947543999,0.251346499102334,0.2975201201882942,outputs\en\json\pg_21.json,outputs\jap\translation_best\pg_21.json
